time,kw
4565,57061.0
4566,60555.0
4567,62934.0
4568,63336.0
4569,64033.0
4570,63373.0
4571,64328.0
4572,63189.0
4573,63590.0
4574,62645.001
4575,63198.0
4576,60640.0
4577,59408.0
4578,57161.0
4579,57997.0
4580,56813.0
4581,55915.0
4582,55182.0
4583,53293.0
4584,49583.0
4585,48656.0
4586,48093.0
4587,48672.0
4588,48563.0
4589,49361.0
4590,51104.0
4591,54166.0
4592,56116.0
4593,57536.0
4594,58323.0
4595,57280.0
4596,58879.0
4597,59061.0
4598,60182.0
4599,60610.0
4600,58632.0
4601,58031.0
4602,56705.0
4603,55853.0
4604,54890.0
4605,52199.0
4606,54371.0
4607,52807.0
4608,51593.0
4609,50078.0
4610,49446.0
4611,48889.0
4612,49393.0
4613,49932.0
4614,55091.0
4615,57575.0
4616,60208.0
4617,59902.0
4618,58091.0
4619,58335.0
4620,58982.0
4621,61279.0
4622,61121.0
4623,59914.0
4624,58846.0
4625,57820.0
4626,56821.0
4627,56421.0
4628,55270.0
4629,56963.0
4630,54943.0
4631,53821.0
4632,51634.0
4633,53497.0
4634,52535.0
4635,52197.0
4636,51877.0
4637,53662.0
4638,58889.0
4639,61688.0
4640,60462.0
4641,62079.0
4642,61520.0
4643,60790.0
4644,61284.0
4645,61582.0
4646,63168.0
4647,62581.0
4648,61839.0
4649,60930.0
4650,58952.0
4651,58625.0
4652,61407.0
4653,63396.0
4654,60830.0
4655,59688.0
4656,57799.0
4657,57060.0
4658,56969.0
4659,56081.0
4660,55693.0
4661,56376.0
4662,54075.0
4663,55479.0
4664,58215.0
4665,57586.0
4666,57735.0
4667,57111.0
4668,57098.0
4669,52184.0
4670,54425.0
4671,57817.0
4672,56725.0
4673,58510.0
4674,57134.0
4675,56794.0
4676,56819.0
4677,55368.0
4678,59029.0
4679,58766.0
4680,57875.0
4681,57438.0
4682,56731.0
4683,56278.0
4684,57750.0
4685,57750.0
4686,58684.0
4687,57584.0
4688,56219.0
4689,58046.0
4690,58886.0
4691,57949.0
4692,60068.999
4693,57860.0
4694,56422.0
4695,60363.001
4696,59527.0
4697,58588.0
4698,56395.0
4699,55574.0
4700,56862.0
4701,61199.0
4702,61707.0
4703,60932.0
4704,60049.0
4705,59989.0
4706,59154.0
4707,58902.0
4708,58917.0
4709,60943.0
4710,64305.0
4711,65491.001
4712,66051.0
4713,67696.0
4714,59096.0
4715,61064.0
4716,64097.0
4717,62408.0
4718,62417.0
4719,64343.0
4720,61049.0
4721,60293.0
4722,58841.0
4723,62892.0
4724,63359.0
4725,65428.0
4726,64277.0
4727,63613.0
4728,59862.0
4729,56949.0
4730,56453.0
4731,55860.0
4732,55853.0
4733,57382.0
4734,60369.0
4735,61765.0
4736,61698.0
4737,61586.0
4738,60606.0
4739,59848.0
4740,57853.0
4741,59673.0
4742,61128.0
4743,59735.0
4744,58769.0
4745,57969.0
4746,57328.0
4747,58308.0
4748,59014.0
4749,58982.0
4750,57468.0
4751,55357.0
4752,53977.0
4753,52260.0
4754,51446.0
4755,50503.0
4756,50926.0
4757,52078.0
4758,55625.0
4759,55349.0
4760,56976.0
4761,56163.0
4762,54133.0
4763,53712.0
4764,53817.0
4765,54026.0
4766,54363.0
4767,55297.0
4768,54459.0
4769,52979.0
4770,51900.0
4771,53113.0
4772,52972.0
4773,52688.0
4774,51745.0
4775,51005.0
4776,49645.0
4777,48636.0
4778,49087.0
4779,48918.0
4780,49967.0
4781,50874.0
4782,54126.0
4783,54778.0
4784,57953.0
4785,59067.0
4786,58830.0
4787,58005.0
4788,57613.0
4789,59045.0
4790,61000.0
4791,59263.0
4792,57275.0
4793,56936.0
4794,56783.0
4795,57976.0
4796,58153.0
4797,57597.0
4798,58380.0
4799,58477.0
4800,57789.0
4801,57286.0
4802,54442.0
4803,52506.0
4804,53762.0
4805,55787.0
4806,58871.0
4807,61493.0
4808,64498.0
4809,62671.0
4810,61846.0
4811,60062.0
4812,60978.0
4813,62467.0
4814,58696.0
4815,57834.0
4816,58881.0
4817,57535.0
4818,55599.0
4819,56410.0
4820,56448.0
4821,56961.0
4822,57029.0
4823,56826.0
4824,55275.0
4825,54802.0
4826,54332.0
4827,53500.0
4828,53274.0
4829,54489.0
4830,55039.0
4831,53260.0
4832,53570.0
4833,52505.0
4834,50925.0
4835,51172.0
4836,52775.0
4837,52640.0
4838,51198.0
4839,54219.0
4840,51634.0
4841,52337.0
4842,52895.0
4843,54475.0
4844,54721.0
4845,55467.0
4846,55971.0
4847,55840.0
4848,54900.999
4849,54643.0
4850,54472.0
4851,53666.0
4852,52920.0
4853,53814.0
4854,54245.0
4855,52190.0
4856,52512.0
4857,50677.0
4858,51084.0
4859,47181.0
4860,51725.0
4861,50838.0
4862,54261.0
4863,55768.0
4864,55055.0
4865,54880.0
4866,53610.0
4867,55202.0
4868,55610.0
4869,57002.0
4870,57060.0
4871,56410.001
4872,54869.0
4873,53011.0
4874,53009.0
4875,51093.0
4876,52310.0
4877,54238.0
4878,56113.0
4879,55959.0
4880,56102.0
4881,58391.0
4882,57669.0
4883,57479.0
4884,58609.0
4885,58200.0
4886,58278.0
4887,58112.0
4888,57468.0
4889,56982.0
4890,55355.0
4891,55987.0
4892,56753.0
4893,55733.0
4894,57233.0
4895,58085.0
4896,56421.0
4897,56879.0
4898,55946.0
4899,55970.0
4900,55592.0
