time,mw,u
6802,7.6,10.0
6803,7.6,9.33333333333
6804,6.8,8.66666666667
6805,6.6,8.66666666667
6806,5.8,9.0
6807,5.9,8.0
6808,7.1,6.0
6809,5.8,4.66666666667
6810,4.6,2.0
6811,3.0,0.0
6812,3.0,0.0
6813,2.3,2.0
6814,2.6,2.0
6815,2.5,0.0
6816,2.8,0.0
6817,1.9,0.0
6818,0.9,0.0
6819,0.6,0.0
6820,0.7,0.0
6821,0.3,0.0
6822,0.3,0.0
6823,0.0,1.0
6824,0.0,1.0
6825,0.1,0.0
6826,0.0,1.0
6827,0.0,4.66666666667
6828,0.5,4.33333333333
6829,0.5,1.0
6830,0.0,1.0
6831,0.0,3.33333333333
